,Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
285,CNN,https://www.cnn.com/2024/06/19/world/video/putin-kju-russia-north-korea-ripley-pkg-061912aseg1-cnni-world-fast,Kim Jong Un greets Vladimir Putin in North Korea,Russian President Vladimir Putin has landed in North Korea for a rare visit that signals the countries’ deepening alignment and Moscow’s need to source weapons from Pyongyang to sustain its war on Ukraine. CNN’s Will Ripley reports.,"Jun 19, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
288,CNN,https://www.cnn.com/2024/06/18/world/video/stoltenberg-washington-visit-ukraine-michael-bociurkiw-intv-061802aseg1-cnni-world-fast,NATO chief reaffirms alliance's support for Ukraine during visit to Washington,"CNN’s Rosemary Church talks to the Atlantic Council’s Michael Bociurkiw about NATO chief Jens Stoltenberg’s visit to Washington this week, which comes on the heels of the G7 meeting in Italy and the Ukraine peace summit in Switzerland.","Jun 18, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
290,CNN,https://www.cnn.com/2024/06/17/world/video/russia-ukraine-war-guest-live-061702pseg1-cnni-world-fast,Ukrainian border town hit as Russia's offensive in northeast continues,"Isa Soares speaks with Alexander Rodnyansky, economic adviser to Ukrainian President Volodymyr Zelensky, about the fierce fighting on the front lines, and achievements from the recent Ukraine Peace Summit.","Jun 18, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
291,CNN,https://www.cnn.com/2024/06/17/world/video/lgbtq-pride-kyiv-ukraine-digvid,See how Ukraine celebrated first pride parade since invasion,"Under threat of shelling, members of Ukraine’s LGBTQ community held their first Pride march since the start of the war, in an effort to show an increasingly intolerant Russia that they are a very different country.","Jun 17, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
292,CNN,https://www.cnn.com/2024/06/17/world/video/ukraine-peace-summit-clare-sebastian-live-06173aseg1-cnni-world-fast,Ukraine summit ends with a new plea for peace,A two-day summit in Switzerland dedicated to forging a path forward to end the war in Ukraine has concluded. CNN’s Clare Sebastian joins Anna Coren to discuss what came out of the Ukraine Peace Conference.,"Jun 17, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
294,CNN,https://www.cnn.com/2024/06/17/world/video/ukraine-russia-peace-summit-zelensky-holmes-dnt-06171aseg1-cnni-world-fast,More than 80 countries back Ukraine's 'territorial integrity' as Peace Summit concludes,"There will be no lasting peace for Ukraine “without territorial integrity,” Ukrainian President Volodymyr Zelensky warned as his two-day peace summit wrapped in Switzerland. CNN’s Michael Holmes reports.","Jun 17, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
295,CNN,https://www.cnn.com/2024/06/16/politics/video/donald-trump-michigan-campaign-event-zelensky-ukraine-cohen-digvid,Hear former defense secretary under Clinton react to Trump's comments about Zelensky,"Former President Donald Trump commented on Ukrainian President Volodymyr Zelensky and the war in Ukraine while speaking at an event hosted by Turning Point Action in Michigan. William Cohen, Cohen Group CEO and former ...","Jun 17, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
296,CNN,https://www.cnn.com/videos/world/2024/06/16/gps-0616-the-controversy-over-frozen-russian-assets.cnn,On GPS: The controversy over using frozen Russian assets to aid Ukraine,"Financial Times columnist Gillian Tett explains to Fareed the controversy over the roughly $300 billion in frozen Russian assets currently held in the west, and what G7 leaders plan to do with those funds.","Jun 17, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
299,CNN,https://www.cnn.com/2024/06/16/world/video/ukraine-kharkiv-maria-avdeeva-intv-06165aseg1-cnni-world-fast,Assessing the security situation in Kharkiv,"Security analyst Maria Avdeeva joins CNN’s Anna Coren to discuss morale in Kharkiv, Ukraine following the Biden administration’s decision to allow the use of U.S. weapons inside Russia and the significance of the G7 summit and Ukraine ...","Jun 16, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
300,CNN,https://www.cnn.com/2024/06/16/world/video/fix-intv-061601a-seg1-cnni-world-fast,Volodymyr Zelensky looks for international support for peace plan,"Michael Holmes speaks with Dr. Liana Fix, from the Council on Foreign Relations, about the Ukraine peace summit, and what a successful outcome would look like.","Jun 16, 2024",2024-10-13 13:35:14.878622,Ukraine War,Unknown,Ukraine,
